ORD_ID,ORD_DATE,CUSTOMER_KEY,PRODUCT_KEY,SUPPLIER_KEY,WAREHOUSE_CODE,SHIP_STATE,SHIP_METHOD,CARRIER,ORDER_STATUS,QTY_UNITS,UNIT_WEIGHT_LB,UNIT_PRICE_USD,DISCOUNT_PCT,FREIGHT_USD,LINE_TOTAL_USD
7000042,5/12/2024,18527,3675,430,WHPA1,ND,Ground,FedEx,Delivered,14,6.32,60.09,0.05,4.96,804.16
7000043,2/10/2023,19552,3568,545,WHTX1,WI,Ground,FedEx,Pending,91,5.43,165.27,0,27.05,15066.62
7000044,6/18/2025,15194,2905,653,WHWA1,PA,Ground,FedEx,Delivered,1,4.34,179.19,0,26.13,205.32
7000045,10/20/2023,11215,5371,503,WHPA1,HI,2Day,FedEx,InTransit,6,19.75,41.72,0,2.02,252.34
7000046,11/6/2024,14420,5588,526,WHTX1,AK,Ground,FedEx,Delivered,35,6.5,33.93,0.05,8.46,1136.63
7000047,11/23/2023,17315,5923,380,WHWA1,MO,Ground,UPS,Delivered,134,12.09,56.32,0.05,17.13,7186.67
7000048,6/10/2024,18476,3895,610,WHWA1,MO,Ground,UPS,Delivered,91,8.35,130.99,0,29.81,11949.9
7000049,7/12/2024,10213,2101,335,WHWA1,AL,Ground,UPS,Delivered,57,9.83,62.18,0,16.04,3560.3
7000050,8/4/2023,11659,4662,352,WHFL1,NM,Ground,UPS,Delivered,56,19.98,70.64,0,6.81,3962.65
7000051,8/20/2025,15025,2637,461,WHTX1,CA,Ground,FedEx,Delivered,60,11.12,130.14,0,23.29,7831.69
7000052,1/11/2025,19610,2456,384,WHWA1,SC,Ground,FedEx,InTransit,38,5.75,116.25,0.05,4.46,4201.08
7000053,7/24/2025,15918,4614,628,WHTX1,AR,2Day,FedEx,Delivered,143,7.13,119.44,0.05,10.86,16236.78
7000054,6/1/2025,15142,1039,326,WHCA1,DC,2Day,UPS,Cancelled,76,16.75,92.74,0,15.3,7063.54
7000055,8/29/2024,11795,4085,525,WHGA1,CA,Ground,FedEx,Delivered,63,13.36,154.6,0,23.86,9763.66
7000056,7/3/2025,15989,5240,617,WHTX1,CA,2Day,UPS,Delivered,60,17.39,25.63,0,6.35,1544.15
7000057,4/15/2023,18297,3732,454,WHGA1,KS,Ground,USPS,InTransit,163,8.67,289.69,0.05,14.25,44872.75
7000058,8/14/2023,15579,3416,593,WHGA1,LA,Ground,UPS,Pending,105,4.33,126.04,0,9.99,13244.19
7000059,2/23/2023,15552,1759,395,WHIL1,TX,Overnight,FedEx,Delivered,17,13.55,53.63,0,9.1,920.81
7000060,12/1/2023,13846,5343,525,WHIL1,KY,Ground,FedEx,Delivered,56,11.64,130.47,0,15.05,7321.37
7000061,1/8/2024,16907,4117,567,WHNJ1,OH,Ground,USPS,Delivered,35,11.82,47.05,0,17.99,1664.74
7000062,11/2/2023,10379,1765,341,WHFL1,LA,Ground,UPS,Delivered,190,4.36,83.66,0.1,11.99,14317.85
7000063,3/15/2025,13294,3423,433,WHWA1,AR,2Day,UPS,Delivered,53,6.81,90.81,0,28.81,4841.74
7000064,12/18/2023,13330,2315,366,WHWA1,DC,Ground,UPS,Delivered,8,5.69,109.71,0.05,15.66,849.46
7000065,11/7/2023,14809,5303,697,WHWA1,NM,Ground,UPS,Delivered,52,12.71,43.49,0.15,55.7,1977.96
7000066,7/7/2024,17938,4996,510,WHPA1,NM,Ground,FedEx,Delivered,40,12.97,111.35,0,11.95,4465.95
7000067,6/15/2023,10225,5030,453,WHIL1,FL,Ground,USPS,Delivered,82,9.74,44.04,0,28.48,3639.76
7000068,2/12/2025,10738,4694,472,WHTX1,NM,Ground,UPS,Delivered,27,17.87,100.09,0,1.32,2703.75
7000069,3/29/2023,10236,4186,698,WHGA1,CA,2Day,FedEx,InTransit,5,24.46,59.25,0.1,6.23,272.86
7000070,9/5/2025,10712,3867,625,WHPA1,OK,Ground,USPS,Delivered,11,12.36,16.74,0.25,41.17,179.27
7000071,1/8/2025,15989,2318,359,WHWA1,KS,Ground,UPS,Delivered,34,14.96,35.82,0.05,24.29,1181.28
7000072,8/16/2023,11889,1701,484,WHNJ1,TN,2Day,FedEx,InTransit,43,7.23,108.64,0.05,12,4449.94
7000073,1/7/2023,17174,5384,480,WHWA1,SD,Ground,USPS,Delivered,131,6.47,48.51,0.15,32.39,5433.98
7000074,2/27/2025,11260,3202,622,WHIL1,KS,Ground,USPS,Delivered,33,18.33,140.31,0.1,30.01,4197.22
7000075,11/30/2024,15247,2594,624,WHCA1,MD,Ground,FedEx,Delivered,4,5.92,25.66,0.1,27.12,119.5
7000076,12/12/2024,17272,4988,312,WHFL1,NJ,2Day,UPS,Delivered,118,15.19,97.67,0,22.09,11547.15
7000077,1/7/2025,10749,5946,368,WHPA1,MT,Ground,UPS,Delivered,141,28.06,58.04,0,26.48,8210.12
7000078,3/29/2023,13552,5146,629,WHNJ1,WI,Ground,FedEx,Pending,64,14.8,50.48,0.1,23.66,2931.31
7000079,12/19/2023,16401,2231,502,WHTX1,NM,Ground,UPS,Cancelled,35,9.53,26.3,0,34.16,954.66
7000080,5/17/2023,16644,3613,306,WHPA1,WY,Ground,UPS,Delivered,116,4.47,69.5,0.05,8.63,7667.53
7000081,4/25/2025,18702,4138,315,WHGA1,IA,Ground,FedEx,Delivered,1,11.03,29.61,0,38.78,68.39
7000082,9/27/2024,11824,2909,342,WHTX1,SD,Ground,FedEx,Delivered,159,18.32,38.44,0,4.14,6116.1
7000083,12/4/2023,16853,2791,331,WHTX1,PA,Ground,USPS,Delivered,140,8.98,54.37,0.1,25.86,6876.48
7000084,3/16/2023,17778,3929,481,WHPA1,PA,Ground,UPS,InTransit,72,18.46,46.45,0,12.31,3356.71
7000085,11/23/2023,14233,2089,562,WHWA1,TX,Ground,UPS,Delivered,34,12.45,123.2,0.05,18.13,3997.49
7000086,12/1/2023,16520,3382,589,WHCA1,MD,Ground,USPS,Delivered,4,11.91,9.79,0,21.07,60.23
7000087,12/12/2024,11778,5128,321,WHCA1,OH,2Day,FedEx,Delivered,200,8.27,52.96,0.05,52.44,10114.84
7000088,10/14/2024,11223,5964,680,WHWA1,MN,Overnight,USPS,Delivered,113,4.17,46.54,0,6.1,5265.12
7000089,5/23/2025,17631,3946,482,WHPA1,UT,Ground,DHL,InTransit,42,7.75,59.64,0,22.34,2527.22
7000090,4/15/2024,11778,4570,484,WHWA1,WA,Ground,USPS,Delivered,3,7.71,40.99,0.1,59.85,170.52
7000091,5/21/2023,19497,2166,544,WHPA1,RI,Ground,FedEx,Delivered,89,14.12,122.86,0,13.94,10948.48
7000092,12/3/2024,17491,1601,650,WHPA1,MO,Ground,UPS,Delivered,190,9.91,50.1,0.05,10.2,9053.25
7000093,12/29/2024,14860,3026,449,WHFL1,WY,Ground,FedEx,Delivered,102,19.15,65.85,0,66.44,6783.14
7000094,7/29/2024,18894,2585,556,WHFL1,MI,Ground,FedEx,Delivered,10,11.84,112.05,0,0.45,1120.95
7000095,1/6/2025,18119,1988,400,WHGA1,WA,2Day,UPS,Pending,51,7.39,62.22,0.2,17.63,2556.21
7000096,5/10/2024,12990,2966,355,WHIL1,DE,2Day,FedEx,Delivered,13,6.13,24.68,0,27.62,348.46
7000097,6/13/2024,18344,2440,486,WHTX1,FL,Ground,UPS,Delivered,154,6.96,44.51,0,15.12,6869.66
7000098,2/22/2024,11326,5616,620,WHPA1,IA,Ground,FedEx,InTransit,41,11.01,55.01,0.1,39.88,2069.75
7000099,1/31/2023,19494,1869,386,WHFL1,WV,Ground,UPS,Delivered,107,8,18.95,0,30.42,2058.07
7000100,5/8/2023,19904,3064,474,WHIL1,MD,Ground,FedEx,Delivered,10,5.24,36.45,0,36.43,400.93
7000101,2/7/2023,15128,2130,322,WHGA1,OH,2Day,USPS,Delivered,15,18.29,57.2,0,4.45,862.45
7000102,10/13/2024,18999,5379,544,WHTX1,OR,Ground,UPS,Delivered,96,10.96,245.4,0,62.99,23621.39
7000103,11/25/2023,12723,5457,360,WHIL1,AZ,Ground,FedEx,Delivered,133,11.79,77.8,0.05,40.02,9870.05
7000104,5/28/2024,14657,4730,404,WHTX1,ND,2Day,UPS,Delivered,24,6.1,67,0.1,12.93,1460.13
7000105,6/16/2025,11326,2935,439,WHWA1,ND,Ground,USPS,Delivered,53,5.35,195.94,0.05,28.07,9893.65
7000106,10/9/2023,14134,2077,603,WHCA1,OK,Ground,USPS,Delivered,85,9.07,90.54,0.1,15.79,6942.1
7000107,2/2/2024,19352,2640,459,WHPA1,OH,Ground,USPS,Delivered,121,2.96,99.94,0.05,14.26,11502.36
7000108,12/26/2024,12870,2393,532,WHWA1,FL,2Day,USPS,Delivered,87,15.97,45.13,0.1,12.05,3545.73
7000109,9/14/2023,11243,1031,377,WHCA1,NJ,Ground,FedEx,Delivered,11,6.55,24.74,0.25,12.78,216.88
7000110,4/1/2023,18540,1704,318,WHNJ1,MT,Ground,UPS,Cancelled,72,8.52,72.06,0,2.19,5190.51
7000111,11/12/2023,11832,1869,322,WHGA1,ID,Ground,UPS,Pending,145,12.92,214.84,0,10.89,31162.69
7000112,7/9/2023,11570,1233,484,WHPA1,MS,2Day,FedEx,Delivered,140,8.74,173.03,0,27.27,24251.47
7000113,7/12/2025,17247,1951,445,WHWA1,SD,Ground,FedEx,InTransit,79,4.96,95.09,0,19.92,7532.03
7000114,2/19/2025,11919,1059,338,WHIL1,ME,Ground,FedEx,Delivered,196,24.68,37.1,0,84.5,7356.1
7000115,10/9/2024,16417,3819,581,WHTX1,UT,Overnight,UPS,InTransit,12,3.99,20.27,0.05,16.07,247.15
7000116,5/5/2025,13233,4601,588,WHFL1,KS,Overnight,UPS,Delivered,62,2.61,33.74,0,34.51,2126.39
7000117,2/14/2025,13759,4150,443,WHNJ1,MT,Overnight,FedEx,Delivered,116,16.9,69.88,0,87.73,8193.81
7000118,8/6/2023,15998,1302,313,WHGA1,MN,Ground,UPS,Pending,17,4.17,43.15,0,16.66,750.21
7000119,5/29/2025,12356,3851,486,WHGA1,NC,2Day,FedEx,Pending,181,21.21,121,0,22.48,21923.48
7000120,7/3/2024,19590,3945,567,WHGA1,TN,Ground,FedEx,Delivered,44,12.54,21.16,0,46.07,977.11
7000121,2/18/2025,11825,2924,569,WHIL1,NJ,Ground,FedEx,InTransit,43,11.85,54.83,0,35.31,2393
7000122,6/3/2025,17281,1317,397,WHWA1,MN,Ground,UPS,Delivered,26,7.11,35.08,0,14.82,926.9
7000123,11/27/2023,14061,2889,657,WHPA1,GA,Ground,DHL,Delivered,35,6.09,120.09,0,44.67,4247.82
7000124,5/10/2023,15325,3716,594,WHCA1,OK,Ground,UPS,Delivered,78,7.98,87.72,0.1,10.07,6168.01
7000125,9/13/2023,10405,5786,301,WHNJ1,NM,Ground,UPS,Delivered,55,5.91,33.54,0.05,14.95,1767.42
7000126,2/22/2024,11722,2882,595,WHWA1,TX,2Day,FedEx,InTransit,23,20.64,109.1,0,38.35,2547.65
7000127,3/3/2025,15317,4899,327,WHIL1,MI,Ground,UPS,Cancelled,124,6.4,19.27,0.1,4.21,2154.74
7000128,4/22/2025,13846,5114,336,WHTX1,TX,Ground,UPS,Delivered,8,13.55,17.18,0.25,8.75,111.83
7000129,1/9/2023,14211,2179,460,WHIL1,TX,Ground,UPS,Delivered,131,18.28,32.29,0,17.9,4247.89
7000130,5/30/2024,10065,4856,331,WHTX1,PA,Overnight,FedEx,Delivered,33,5.89,14.97,0,27.2,521.21
7000131,2/10/2024,19492,5874,427,WHTX1,WA,Ground,USPS,Delivered,65,12.54,55.45,0.25,51.03,2754.22
7000132,9/6/2023,16383,5456,562,WHGA1,AK,Ground,FedEx,Delivered,48,5.85,56.7,0,8.95,2730.55
7000133,5/22/2023,19608,1332,645,WHIL1,MN,Ground,FedEx,Delivered,77,9.01,45.17,0,24.29,3502.38
7000134,12/7/2023,10969,1528,510,WHCA1,OH,2Day,UPS,Delivered,121,7.59,87.5,0,33.98,10621.48
7000135,7/28/2025,10369,3060,450,WHTX1,OR,Ground,UPS,InTransit,191,6.59,36.16,0,12.83,6919.39
7000136,11/30/2023,18425,2099,331,WHFL1,NY,Ground,UPS,Delivered,37,10.99,24.19,0,0.54,895.57
7000137,6/9/2024,12243,1212,400,WHGA1,TX,Ground,USPS,Delivered,74,4.83,34.34,0,10.97,2552.13
7000138,11/28/2024,15003,2715,629,WHCA1,ID,2Day,UPS,InTransit,60,17.46,25.54,0,12.34,1544.74
7000139,12/21/2023,13084,3689,602,WHWA1,OH,Ground,DHL,Delivered,199,5.23,39.1,0.1,15,7017.81
7000140,8/22/2025,18074,3331,653,WHWA1,SD,Ground,UPS,Delivered,124,4.68,91.06,0.05,10.68,10737.55
7000141,8/14/2025,19113,4267,519,WHWA1,AZ,Ground,FedEx,Delivered,50,8.6,17.55,0.15,14.84,760.72
7000142,10/11/2023,18881,2033,553,WHIL1,ND,Overnight,USPS,Delivered,62,8,47.3,0,17.87,2950.47
7000143,5/14/2024,11470,2333,471,WHCA1,PA,Ground,UPS,InTransit,30,12.38,117.29,0,39.64,3558.34
7000144,11/17/2023,14726,2841,557,WHIL1,MS,Ground,FedEx,Delivered,112,10.52,127.05,0,44.6,14274.2
7000145,11/9/2023,14260,5687,357,WHTX1,PA,Ground,UPS,InTransit,134,3.77,37.22,0,5.26,4992.74
7000146,2/13/2023,13623,3139,309,WHWA1,KY,Ground,UPS,Delivered,177,18.07,282.48,0,43.01,50041.97
7000147,9/11/2024,10824,5552,305,WHNJ1,SC,Ground,UPS,Delivered,76,8.47,28.74,0,17.12,2201.36
7000148,5/21/2024,13432,5092,635,WHNJ1,AL,Ground,USPS,Delivered,95,11.56,51.13,0,20.74,4878.09
7000149,3/2/2023,16529,1444,414,WHWA1,DE,Overnight,UPS,InTransit,57,37.48,26.45,0,22.36,1530.01
7000150,11/6/2023,14152,5175,565,WHPA1,IA,Ground,UPS,Delivered,83,21.64,81.25,0.15,4.23,5736.42
7000151,6/17/2025,14214,2499,473,WHPA1,WY,2Day,DHL,Delivered,43,11.35,426.32,0,13.08,18344.84
7000152,9/27/2023,17421,1927,520,WHTX1,VT,Ground,UPS,Delivered,108,4.39,218.1,0.05,11.2,22388.26
7000153,6/20/2023,18990,1623,505,WHCA1,MO,Overnight,UPS,Delivered,3,4.43,108.51,0.1,36.44,329.42
7000154,5/5/2024,10780,2480,324,WHIL1,DE,Ground,DHL,Delivered,4,20.08,39.22,0,12.06,168.94
7000155,9/4/2025,12893,4038,470,WHWA1,NY,Ground,UPS,Delivered,104,7.86,53.35,0.15,22.22,4738.36
7000156,9/30/2023,15535,4386,403,WHNJ1,WY,Ground,UPS,InTransit,161,9.04,131.05,0.1,36.67,19025.82
7000157,11/11/2024,13307,4319,360,WHWA1,IL,Ground,USPS,Cancelled,87,5.03,101.39,0,14.38,8835.31
7000158,12/29/2024,12903,1234,386,WHIL1,VA,Ground,UPS,Delivered,106,13.07,63.59,0.15,42.6,5772.06
7000159,9/25/2023,13719,2618,555,WHTX1,IA,Ground,UPS,Delivered,128,19.83,66.27,0.1,2.79,7637.09
7000160,12/11/2024,10022,3692,465,WHCA1,CO,Ground,UPS,Delivered,45,24.95,125.63,0,6.72,5660.07
7000161,12/23/2023,11501,3031,672,WHFL1,NC,Ground,FedEx,Delivered,13,7.64,149.41,0.1,11.57,1759.67
7000162,10/8/2024,19035,1387,467,WHIL1,CT,Ground,UPS,Delivered,162,14.72,20.99,0,8.46,3408.84
7000163,10/9/2024,19953,2635,384,WHWA1,NC,Ground,UPS,Delivered,164,9.45,70.33,0.1,30.32,10411.03
7000164,6/29/2024,13642,5134,502,WHCA1,WA,Ground,UPS,InTransit,56,16.96,89.93,0.05,4.3,4788.58
7000165,4/17/2023,15213,2185,390,WHFL1,NH,Ground,UPS,Delivered,26,9.98,41.34,0,26.95,1101.79
7000166,3/23/2025,10192,2968,389,WHNJ1,PA,Ground,FedEx,Delivered,148,6.1,146.89,0.05,9.28,20662.01
7000167,11/28/2023,18588,1241,420,WHIL1,OR,Ground,UPS,Cancelled,102,22.08,49.03,0.05,1.84,4752.85
7000168,8/6/2023,17175,1562,456,WHGA1,UT,Ground,FedEx,Cancelled,1,10.61,149.77,0.1,5.05,139.84
7000169,2/17/2023,15115,3000,488,WHNJ1,NY,2Day,FedEx,Delivered,13,8.1,46.36,0.1,14.13,556.54
7000170,8/23/2024,14663,5902,488,WHCA1,AZ,Ground,UPS,Delivered,187,11.13,71.95,0.05,28.69,12810.61
7000171,11/14/2024,14327,2930,562,WHTX1,MD,Ground,UPS,Delivered,5,6.43,70.84,0.25,6.53,272.18
7000172,1/20/2023,19066,5901,352,WHGA1,IN,Ground,UPS,Delivered,34,12.83,192.13,0.1,15.39,5894.57
7000173,6/1/2024,14336,3780,440,WHPA1,NV,2Day,UPS,Pending,73,8.89,100.79,0.15,68.49,6322.51
7000174,9/12/2023,18282,2676,319,WHIL1,PA,Ground,FedEx,InTransit,22,6.21,43.55,0,9.85,967.95
7000175,10/23/2024,18649,3516,375,WHWA1,AR,Ground,FedEx,InTransit,28,41.63,49.59,0,10.21,1398.73
7000176,7/25/2023,19197,2678,530,WHPA1,IA,Ground,UPS,Delivered,44,5.46,49.45,0,3.65,2179.45
7000177,11/21/2024,15495,5142,430,WHNJ1,KY,Ground,FedEx,Delivered,33,12.36,60.78,0,3.58,2009.32
7000178,1/5/2024,18537,4747,355,WHWA1,OR,Ground,DHL,Delivered,123,10.35,30.97,0.2,10.67,3058.12
7000179,7/20/2025,12712,4357,571,WHIL1,MS,Ground,UPS,Delivered,65,5.4,56.68,0,41.95,3726.15
7000180,6/12/2023,17596,2652,400,WHIL1,PA,2Day,FedEx,Delivered,34,8.17,156.33,0,22.97,5338.19
7000181,12/9/2023,16274,5178,369,WHGA1,TN,Ground,FedEx,Delivered,38,4.47,151.55,0,14.7,5773.6
7000182,5/14/2023,16285,4842,599,WHGA1,SD,Ground,UPS,Delivered,5,34.55,20.06,0.1,12.37,102.64
7000183,7/6/2025,19309,3442,317,WHGA1,OK,Ground,FedEx,Delivered,6,8.51,17.96,0,4.12,111.88
7000184,5/12/2025,18818,5886,654,WHGA1,SD,Ground,DHL,Delivered,104,8.96,39.61,0,19.15,4138.59
7000185,10/19/2023,13995,1595,416,WHTX1,DE,Ground,UPS,Delivered,13,32.13,17.27,0,28.4,252.91
7000186,11/5/2024,11679,3613,452,WHWA1,AZ,2Day,USPS,Delivered,62,6.1,24.78,0,23.15,1559.51
7000187,3/2/2025,18415,5097,630,WHWA1,NJ,Ground,UPS,Delivered,133,21.74,76.72,0,19.66,10223.42
7000188,7/22/2024,10744,2497,416,WHCA1,MI,Ground,UPS,Delivered,46,14.27,58.43,0.1,13.34,2432.34
7000189,6/21/2024,10463,4556,330,WHGA1,NC,Ground,FedEx,Pending,43,3.05,17.99,0,16.8,790.37
7000190,9/30/2023,11569,5862,623,WHNJ1,MO,Ground,UPS,Delivered,142,8,136.1,0.25,15.69,14510.34
7000191,4/20/2023,11737,5767,351,WHWA1,NJ,Ground,FedEx,InTransit,139,12.99,44.66,0,44.85,6252.59
7000192,6/4/2025,17904,4359,360,WHIL1,OR,Ground,UPS,Pending,144,10.22,41.74,0,17.79,6028.35
7000193,6/8/2025,17003,2602,529,WHPA1,AZ,Overnight,FedEx,Delivered,77,10.23,122.23,0.1,31.6,8502.14
7000194,10/9/2024,18857,1915,559,WHGA1,AR,Ground,FedEx,Delivered,170,6.95,79.99,0,24.24,13622.54
7000195,12/8/2023,11357,2845,660,WHNJ1,NH,Ground,FedEx,Delivered,127,6.52,58.24,0,10.38,7406.86
7000196,12/13/2023,11015,2996,305,WHTX1,NY,Ground,UPS,Delivered,53,8.31,42.44,0,7.25,2256.57
7000197,12/10/2024,11055,1095,328,WHNJ1,MN,2Day,UPS,Delivered,87,32.44,89.4,0.05,73.02,7461.93
7000198,6/4/2025,11765,1493,554,WHPA1,ME,2Day,UPS,InTransit,14,5.8,44.32,0,13.74,634.22
7000199,5/23/2025,16010,4070,664,WHPA1,IA,Ground,FedEx,Delivered,73,7.49,51.14,0.1,11.3,3371.2
7000200,1/17/2025,14459,1150,531,WHNJ1,DC,Overnight,UPS,Cancelled,32,10.17,26.33,0,23.06,865.62
7000201,10/19/2024,19605,2047,695,WHTX1,KS,Ground,FedEx,InTransit,35,4.16,133.5,0,2.2,4674.7
7000202,4/10/2023,10668,3804,657,WHWA1,MN,Ground,UPS,Delivered,15,12.96,177.89,0.15,8.46,2276.56
7000203,7/10/2023,13371,1399,500,WHPA1,SC,2Day,FedEx,Delivered,45,4.62,69.59,0.1,5.6,2824
7000204,6/5/2025,15977,5951,632,WHTX1,VA,2Day,FedEx,Delivered,62,5.21,42.69,0.05,19.03,2533.47
7000205,9/8/2024,11395,5477,571,WHIL1,OR,2Day,UPS,Delivered,82,5.06,115.49,0.1,6.83,8529.99
7000206,1/11/2023,18291,1552,639,WHGA1,AL,2Day,FedEx,Delivered,37,3.74,90.6,0,21.75,3373.95
7000207,4/30/2023,14071,1295,604,WHPA1,ME,Overnight,UPS,InTransit,120,21.4,43.98,0.05,4.61,5018.33
7000208,11/7/2024,16983,2144,683,WHNJ1,OR,Ground,USPS,Delivered,69,13.67,134.31,0,53.67,9321.06
7000209,1/6/2023,18614,1456,346,WHWA1,OH,Ground,FedEx,Delivered,88,17.39,44.58,0,38.89,3961.93
7000210,7/9/2023,15600,2554,328,WHCA1,NJ,Ground,FedEx,InTransit,34,16.47,24.39,0,34.32,863.58
7000211,7/14/2024,13651,1169,307,WHCA1,KY,2Day,USPS,Delivered,126,9.04,57.3,0.15,41.42,6178.25
7000212,11/22/2024,19325,5806,532,WHFL1,RI,Ground,USPS,Delivered,86,9.82,128.17,0.05,9.84,10481.33
7000213,10/31/2024,19895,2947,499,WHIL1,WI,Ground,FedEx,Delivered,139,18.37,64.48,0,30.15,8992.87
7000214,9/9/2023,13621,1254,394,WHCA1,MT,2Day,UPS,Delivered,19,26.73,26.4,0,8.46,510.06
7000215,12/3/2024,13191,3377,382,WHIL1,IL,Overnight,FedEx,InTransit,48,4.7,45.25,0,6.69,2178.69
7000216,9/24/2023,18790,2321,388,WHWA1,MI,Ground,UPS,Pending,13,45.36,138.62,0,39.33,1841.39
